semana,2021/22,2022/23,2023/24,2024/25,2025/26
0,395.29,832.5,,,
1,316.36,416.5,807.0,728.0,426.5
2,315.0,442.5,797.5,732.0,424.0
3,315.62,459.0,810.0,716.5,421.5
4,317.98,470.5,797.5,711.5,424.0
5,312.1,472.0,792.5,690.0,416.5
6,307.02,472.5,787.5,687.5,439.0
7,305.62,471.5,757.5,590.0,417.0
8,314.5,476.0,745.0,540.0,435.0
9,,502.5,747.5,530.0,453.5
10,327.5,520.5,772.5,530.0,466.5
11,326.5,521.5,820.0,485.0,432.5
12,330.0,529.0,839.0,467.0,429.5
13,330.59,529.0,862.5,426.5,430.0
14,336.5,529.0,887.0,432.0,438.0
15,333.5,527.5,897.5,435.5,440.0
16,,536.0,902.5,442.5,430.5
17,333.5,518.0,890.5,424.0,411.0
18,320.5,518.0,884.0,417.5,407.0
19,318.0,518.0,872.5,417.0,419.0
20,324.5,524.5,875.0,418.5,428.5
21,327.25,524.5,881.0,414.0,439.0
22,334.74,526.0,866.0,407.5,439.0
23,355.5,524.5,862.5,406.0,430.0
24,365.0,526.0,864.5,396.0,441.0
25,362.5,519.0,842.5,382.0,
26,351.5,517.0,795.0,378.5,
27,350.5,522.0,745.0,378.5,
28,349.0,521.5,710.0,383.5,
29,344.0,538.0,732.5,390.0,
30,343.0,553.0,717.5,375.0,
31,341.5,570.5,747.5,355.0,
32,339.0,580.0,760.0,352.5,
33,339.0,591.5,785.0,353.5,
34,337.5,608.5,781.5,332.0,
35,337.5,611.0,788.0,338.5,
36,332.0,619.0,790.5,353.0,
37,332.0,620.0,798.0,353.0,
38,333.0,645.0,794.5,352.0,
39,337.74,658.5,781.0,357.0,
40,347.14,666.5,756.0,358.5,
41,355.5,698.5,705.0,358.5,
42,362.5,718.5,697.5,358.5,
43,363.0,756.0,687.5,360.0,
44,369.0,758.5,682.5,374.0,
45,372.5,768.5,673.5,380.5,
46,372.5,774.0,681.0,382.5,
47,386.5,789.0,700.0,391.5,
48,390.5,821.5,706.0,398.0,
49,393.5,833.5,714.0,402.5,
50,393.5,852.0,725.0,411.5,
51,395.5,846.5,726.0,426.5,
52,395.29,832.5,729.5,431.5,
53,,,,728.0,426.5
