periodo,valor
2021-1,162168.5905
2021-2,165978.9164
2021-3,173823.573
2021-4,178054.1511
2021-5,177014.7096
2021-6,232956.6452
2021-7,186789.1846
2021-8,158536.2647
2021-9,232078.5081
2021-10,189272.782
2021-11,192490.1651
2021-12,276031.6143
2022-1,170441.1239
2022-2,174562.9963
2022-3,193051.3439
2022-4,171016.6776
2022-5,177432.2013
2022-6,245051.0721
2022-7,182241.4237
2022-8,180658.2285
2022-9,189455.3867
2022-10,177210.1785
2022-11,195425.4322
2022-12,273057.194
2023-1,185304.418
2023-2,175883.3927
2023-3,197424.4212
2023-4,183809.3854
2023-5,206138.4219
2023-6,270101.7749
2023-7,222778.0206
2023-8,200999.2873
2023-9,205414.6057
2023-10,201773.398
2023-11,173414.6863
2023-12,194444.3482
2024-1,135948.5536
2024-2,127021.8108
2024-3,150939.3278
2024-4,145282.4339
2024-5,164216.9523
2024-6,208080.8841
2024-7,187697.9227
2024-8,176074.7325
2024-9,172228.7115
2024-10,175407.4841
2024-11,187591.2283
2024-12,247222.8889
2025-1,164933.02
2025-2,182326.3172
2025-3,169261.4159
2025-4,168761.7469
2025-5,169061.5778
2025-6,219566.5037
2025-7,193975.6516
2025-8,181998.6699
2025-9,178883.001
2025-10,186620.3746
2025-11,169852.0221
2025-12,249704.432
2026-1,157215.2145
2026-2,186447.6957
